time meanMaxDtOverlap maxDtOverlap meanRelativeMaxDtOverlap maxRelativeDtOverlap
0 8.47567e-314 8.47567e-314 8.47442e-311 8.92176e-311
0.01005 5.44886e-06 7.23444e-06 0.00542429 0.00735955
0.02 8.8412e-06 1.06249e-05 0.00881156 0.0110611
0.03 1.02394e-05 1.9987e-05 0.0102332 0.019987
0.04 1.27571e-05 2.53355e-05 0.01276 0.0246786
0.05 1.49458e-05 4.53893e-05 0.0149513 0.0443688
0.06 1.69496e-05 4.4363e-05 0.0169253 0.0444074
0.07 2.04941e-05 5.40856e-05 0.0204593 0.0558735
0.08005 2.14486e-05 6.46944e-05 0.0214218 0.063959
0.09005 2.1489e-05 6.12482e-05 0.0214508 0.0639334
0.10005 1.79372e-05 5.48128e-05 0.0178895 0.0553664
0.11005 6.94255e-06 3.0117e-05 0.00691782 0.0294399
0.12005 4.16223e-06 1.26082e-05 0.00414486 0.0122638
0.13005 4.94232e-06 1.29872e-05 0.0049231 0.0125967
0.14005 3.66805e-06 1.49192e-05 0.00365129 0.0142768
0.15005 4.1519e-06 1.3342e-05 0.00413113 0.0136982
0.16005 3.87634e-06 1.21064e-05 0.00385546 0.0117703
0.17005 2.90094e-06 1.03758e-05 0.00288679 0.00996713
0.18005 3.23457e-06 1.15575e-05 0.00321761 0.0111023
0.19005 3.00885e-06 1.48971e-05 0.00299285 0.0156482
0.20005 2.63808e-06 1.04791e-05 0.00262353 0.0100664
0.21005 2.92658e-06 1.14626e-05 0.00291008 0.0110112
0.22005 2.80728e-06 9.94613e-06 0.00279349 0.0095544
0.23005 3.19284e-06 1.18591e-05 0.00317698 0.011392
0.24005 3.06654e-06 1.11848e-05 0.00304995 0.0107443
0.25005 2.44518e-06 1.09811e-05 0.00243157 0.0105487
0.26005 2.64229e-06 1.19518e-05 0.00262579 0.0114811
0.27005 2.40553e-06 1.10495e-05 0.0023898 0.0106143
0.28005 2.22693e-06 1.00458e-05 0.00221191 0.00965012
0.29005 2.38159e-06 1.13751e-05 0.00236557 0.0109271
0.30005 2.1195e-06 1.02052e-05 0.0021053 0.00980325
0.31005 2.21482e-06 1.10268e-05 0.00219957 0.0105925
0.32005 2.21634e-06 1.09955e-05 0.00220097 0.0105625
0.33005 2.0143e-06 1.00983e-05 0.00200021 0.00970062
0.34005 2.17646e-06 1.07218e-05 0.00216112 0.0102995
0.35005 2.11293e-06 1.04892e-05 0.00209777 0.010076
0.36005 2.04932e-06 1.03296e-05 0.00203448 0.00992278
0.37005 2.13029e-06 1.07044e-05 0.00211488 0.0102828
0.38005 2.00416e-06 1.00717e-05 0.00198963 0.00967504
0.39005 2.08397e-06 1.04933e-05 0.00206885 0.01008
0.40005 2.07918e-06 1.05705e-05 0.00206399 0.0101542
0.41005 1.98787e-06 1.01219e-05 0.00197339 0.00972325
0.42005 2.06769e-06 1.04105e-05 0.00205263 0.0100005
0.43005 2.02084e-06 1.02266e-05 0.00200609 0.00982382
0.44005 2.00974e-06 1.01863e-05 0.00199501 0.00978508
0.45005 2.03786e-06 1.02851e-05 0.00202285 0.00988005
0.46005 1.97581e-06 1.01365e-05 0.0019613 0.00973724
0.47005 2.01312e-06 1.02926e-05 0.00199828 0.00988719
0.48005 2.01296e-06 1.02906e-05 0.00199808 0.00988534
0.49005 1.9589e-06 1.02309e-05 0.00194436 0.00982791
0.50005 2.00218e-06 1.02392e-05 0.00198732 0.00983591
0.51005 1.98305e-06 1.01881e-05 0.00196835 0.00978683
0.52005 1.97227e-06 1.01929e-05 0.00195759 0.00979145
0.53005 1.98738e-06 1.02392e-05 0.00197252 0.00983589
0.54005 1.94882e-06 1.00856e-05 0.00193423 0.00968842
0.55005 1.97581e-06 1.02661e-05 0.00196104 0.00986172
0.56005 1.97376e-06 1.01547e-05 0.00195897 0.00975477
0.57005 1.94338e-06 1.01049e-05 0.00192881 0.00970696
0.58005 1.97295e-06 1.02718e-05 0.00195815 0.00986727
0.59005 1.9548e-06 1.01222e-05 0.00194013 0.00972354
0.60005 1.95208e-06 1.01472e-05 0.00193742 0.00974754
0.61005 1.96329e-06 1.02006e-05 0.0019485 0.0097988
0.62005 1.93675e-06 1.00598e-05 0.00192218 0.0096636
0.63005 1.95683e-06 1.01638e-05 0.0019421 0.0097635
0.64005 1.95329e-06 1.01892e-05 0.00193856 0.00978792
0.65005 1.9342e-06 1.01643e-05 0.00191962 0.00976398
0.66005 1.9542e-06 1.01787e-05 0.0019395 0.00977778
0.67005 1.94571e-06 1.01471e-05 0.00193104 0.00974749
0.68005 1.94207e-06 1.0128e-05 0.00192745 0.00972912
0.69005 1.94914e-06 1.01568e-05 0.00193444 0.00975674
0.70005 1.93525e-06 1.00862e-05 0.00192065 0.00968896
0.71005 1.94402e-06 1.01416e-05 0.00192935 0.00974218
0.72005 1.94554e-06 1.01735e-05 0.00193084 0.00977278
0.73005 1.92923e-06 1.0083e-05 0.00191463 0.00968591
0.74005 1.94329e-06 1.01411e-05 0.00192861 0.00974169
0.75005 1.93889e-06 1.01094e-05 0.00192423 0.00971127
0.76005 1.93386e-06 1.00989e-05 0.00191923 0.00970117
0.77005 1.94157e-06 1.01373e-05 0.00192688 0.00973801
0.78005 1.92987e-06 1.01084e-05 0.00191528 0.00971032
0.79005 1.93767e-06 1.0142e-05 0.00192299 0.00974254
0.80005 1.939e-06 1.01409e-05 0.00192431 0.00974149
0.81005 1.92473e-06 1.00968e-05 0.00191015 0.00969915
0.82005 1.93862e-06 1.01362e-05 0.00192393 0.00973703
0.83005 1.93441e-06 1.01363e-05 0.00191975 0.00973712
0.84005 1.93031e-06 1.01075e-05 0.0019157 0.00970946
0.85005 1.93686e-06 1.01355e-05 0.00192218 0.00973629
0.86005 1.92935e-06 1.01055e-05 0.00191474 0.0097075
0.87005 1.93369e-06 1.0113e-05 0.00191904 0.00971473
0.88005 1.93589e-06 1.01286e-05 0.00192123 0.00972972
0.89005 1.92392e-06 1.00876e-05 0.00190934 0.00969031
0.90005 1.9345e-06 1.01366e-05 0.00191983 0.00973732
0.91005 1.93288e-06 1.01098e-05 0.00191823 0.00971165
0.92005 1.9269e-06 1.01113e-05 0.00191229 0.00971309
0.93005 1.93349e-06 1.01139e-05 0.00191882 0.00971555
0.94005 1.92764e-06 1.01082e-05 0.00191303 0.00971013
0.95005 1.93047e-06 1.01141e-05 0.00191584 0.00971576
0.96005 1.93278e-06 1.01213e-05 0.00191812 0.0097227
0.97005 1.92284e-06 1.00856e-05 0.00190826 0.00968835
0.98005 1.93211e-06 1.01183e-05 0.00191745 0.00971981
0.99005 1.93132e-06 1.01172e-05 0.00191667 0.00971869
1.00005 1.92484e-06 1.00973e-05 0.00191024 0.00969958
