time particleCenterOfMass_X particleCenterOfMass_Y particleCenterOfMass_Z
0 0.0166283 0.0012 0.0738858
0.01005 0.0166283 0.0012 0.0734053
0.02 0.0166288 0.0012 0.0720898
0.03 0.0166428 0.0012 0.0699939
0.04 0.0166964 0.0012 0.0672623
0.05 0.0167576 0.0012 0.06409
0.06 0.0168656 0.0012 0.0607228
0.07 0.0169866 0.0012 0.0576299
0.08005 0.017123 0.0012 0.0552846
0.09005 0.0173025 0.0012 0.0538079
0.10005 0.0173647 0.0012 0.0536527
0.11005 0.0174124 0.0012 0.0538836
0.12005 0.0174426 0.0012 0.0537151
0.13005 0.0174505 0.0012 0.053688
0.14005 0.01745 0.0012 0.0536628
0.15005 0.0174524 0.0012 0.0535691
0.16005 0.0174585 0.0012 0.0536015
0.17005 0.0174784 0.0012 0.0535684
0.18005 0.0174884 0.0012 0.0535375
0.19005 0.0174963 0.0012 0.0535615
0.20005 0.0175011 0.0012 0.0535317
0.21005 0.0174998 0.0012 0.0535247
0.22005 0.017489 0.0012 0.0535117
0.23005 0.0174896 0.0012 0.0534618
0.24005 0.0174944 0.0012 0.0534934
0.25005 0.0174943 0.0012 0.0534804
0.26005 0.0174945 0.0012 0.0534627
0.27005 0.0174915 0.0012 0.0534915
0.28005 0.0174924 0.0012 0.0534687
0.29005 0.0174927 0.0012 0.0534736
0.30005 0.0174918 0.0012 0.0534856
0.31005 0.0174922 0.0012 0.053466
0.32005 0.0174922 0.0012 0.0534811
0.33005 0.0174931 0.0012 0.0534782
0.34005 0.0174931 0.0012 0.0534684
0.35005 0.0174936 0.0012 0.0534838
0.36005 0.0174934 0.0012 0.0534714
0.37005 0.0174931 0.0012 0.0534748
0.38005 0.0174936 0.0012 0.053481
0.39005 0.0174933 0.0012 0.0534698
0.40005 0.0174936 0.0012 0.0534795
0.41005 0.0174938 0.0012 0.0534757
0.42005 0.0174929 0.0012 0.0534728
0.43005 0.0174935 0.0012 0.0534797
0.44005 0.0174934 0.0012 0.0534734
0.45005 0.0174931 0.0012 0.0534755
0.46005 0.0174937 0.0012 0.0534782
0.47005 0.0174932 0.0012 0.0534729
0.48005 0.0174936 0.0012 0.0534775
0.49005 0.0174936 0.0012 0.0534762
0.50005 0.0174934 0.0012 0.0534739
0.51005 0.0174936 0.0012 0.053478
0.52005 0.0174934 0.0012 0.0534746
0.53005 0.0174934 0.0012 0.0534756
0.54005 0.0174936 0.0012 0.0534772
0.55005 0.0174934 0.0012 0.0534741
0.56005 0.0174934 0.0012 0.0534769
0.57005 0.0174935 0.0012 0.0534759
0.58005 0.0174934 0.0012 0.0534746
0.59005 0.0174935 0.0012 0.0534772
0.60005 0.0174935 0.0012 0.0534748
0.61005 0.0174935 0.0012 0.0534757
0.62005 0.0174935 0.0012 0.0534768
0.63005 0.0174934 0.0012 0.0534746
0.64005 0.0174936 0.0012 0.0534766
0.65005 0.0174935 0.0012 0.0534759
0.66005 0.0174935 0.0012 0.0534751
0.67005 0.0174936 0.0012 0.0534767
0.68005 0.0174934 0.0012 0.0534754
0.69005 0.0174936 0.0012 0.0534756
0.70005 0.0174936 0.0012 0.0534765
0.71005 0.0174934 0.0012 0.0534751
0.72005 0.0174936 0.0012 0.0534762
0.73005 0.0174936 0.0012 0.053476
0.74005 0.0174935 0.0012 0.0534752
0.75005 0.0174936 0.0012 0.0534765
0.76005 0.0174935 0.0012 0.0534754
0.77005 0.0174935 0.0012 0.0534757
0.78005 0.0174935 0.0012 0.0534765
0.79005 0.0174936 0.0012 0.0534751
0.80005 0.0174935 0.0012 0.0534762
0.81005 0.0174935 0.0012 0.053476
0.82005 0.0174935 0.0012 0.0534752
0.83005 0.0174935 0.0012 0.0534765
0.84005 0.0174935 0.0012 0.0534755
0.85005 0.0174935 0.0012 0.0534757
0.86005 0.0174935 0.0012 0.0534764
0.87005 0.0174935 0.0012 0.0534753
0.88005 0.0174935 0.0012 0.053476
0.89005 0.0174935 0.0012 0.0534761
0.90005 0.0174934 0.0012 0.0534753
0.91005 0.0174935 0.0012 0.0534763
0.92005 0.0174935 0.0012 0.0534756
0.93005 0.0174935 0.0012 0.0534756
0.94005 0.0174935 0.0012 0.0534763
0.95005 0.0174934 0.0012 0.0534754
0.96005 0.0174935 0.0012 0.053476
0.97005 0.0174935 0.0012 0.0534761
0.98005 0.0174935 0.0012 0.0534753
0.99005 0.0174935 0.0012 0.0534763
1.00005 0.0174935 0.0012 0.0534757
