time collisionForces hydraulicForces
0 0 0
0.0202 305.434 0
0.0402 102.73 0
0.0602 102.73 0
0.08 102.73 0
0.1 102.73 0
0.12 102.73 0
0.14 102.73 0
0.16 102.73 0
0.18 102.73 0
0.2 102.73 0
0.22 102.73 0
0.24 102.73 0
0.26 102.73 0
0.28 102.73 0
0.3002 102.73 0
0.3202 102.73 0
0.3402 102.73 0
0.3602 102.73 0
0.3802 102.73 0
0.4002 102.73 0
0.4202 102.73 0
0.4402 102.73 0
0.4602 102.73 0
0.4802 102.73 0
0.5002 102.73 0
0.5202 102.73 0
0.5402 102.73 0
0.5602 102.73 0
0.5802 102.73 0
0.6002 102.73 0
0.6202 102.73 0
0.6402 102.73 0
0.6602 102.73 0
0.6802 102.73 0
0.7002 102.73 0
0.7202 102.73 0
0.7402 102.73 0
0.7602 102.73 0
0.7802 102.73 0
0.8002 102.73 0
