0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 9.23193	MaxPSpin= 0.380209	eKin = 85145.2	eGrav = 359464	eTot = 444609	
201; time=0.0402	MaxPSpeed= 5.8156	MaxPSpin= 0.840772	eKin = 42580.7	eGrav = 359303	eTot = 401884	
301; time=0.0602	MaxPSpeed= 1.03513	MaxPSpin= 0.78303	eKin = 1676.64	eGrav = 359117	eTot = 360794	
400; time=0.08	MaxPSpeed= 0.976683	MaxPSpin= 0.917095	eKin = 1160.33	eGrav = 358919	eTot = 360079	
500; time=0.1	MaxPSpeed= 1.07596	MaxPSpin= 0.922989	eKin = 1556.16	eGrav = 358522	eTot = 360078	
600; time=0.12	MaxPSpeed= 0.790537	MaxPSpin= 2.93726	eKin = 1248.56	eGrav = 357997	eTot = 359246	
700; time=0.14	MaxPSpeed= 0.957355	MaxPSpin= 4.50908	eKin = 1655.31	eGrav = 357320	eTot = 358976	
800; time=0.16	MaxPSpeed= 1.12487	MaxPSpin= 4.82838	eKin = 2431.44	eGrav = 356482	eTot = 358913	
900; time=0.18	MaxPSpeed= 1.44064	MaxPSpin= 4.82832	eKin = 3384.68	eGrav = 355457	eTot = 358842	
1000; time=0.2	MaxPSpeed= 1.68527	MaxPSpin= 5.82154	eKin = 4522.09	eGrav = 354253	eTot = 358776	
1100; time=0.22	MaxPSpeed= 1.88723	MaxPSpin= 5.75121	eKin = 5866.62	eGrav = 352867	eTot = 358734	
1200; time=0.24	MaxPSpeed= 2.0832	MaxPSpin= 6.87698	eKin = 7428.95	eGrav = 351291	eTot = 358719	
1300; time=0.26	MaxPSpeed= 2.27937	MaxPSpin= 8.31857	eKin = 9197.42	eGrav = 349520	eTot = 358718	
1400; time=0.28	MaxPSpeed= 2.5127	MaxPSpin= 7.19736	eKin = 10887.9	eGrav = 347564	eTot = 358452	
1501; time=0.3002	MaxPSpeed= 2.86818	MaxPSpin= 9.67945	eKin = 12630.5	eGrav = 345458	eTot = 358088	
1601; time=0.3202	MaxPSpeed= 3.07463	MaxPSpin= 13.1173	eKin = 14667.3	eGrav = 343241	eTot = 357908	
1701; time=0.3402	MaxPSpeed= 3.27082	MaxPSpin= 12.7639	eKin = 16735.5	eGrav = 340866	eTot = 357602	
1801; time=0.3602	MaxPSpeed= 3.51665	MaxPSpin= 12.5763	eKin = 18702	eGrav = 338350	eTot = 357052	
1901; time=0.3802	MaxPSpeed= 3.8472	MaxPSpin= 13.7445	eKin = 20895	eGrav = 335714	eTot = 356609	
2001; time=0.4002	MaxPSpeed= 4.04189	MaxPSpin= 13.6061	eKin = 23101.3	eGrav = 332937	eTot = 356038	
2101; time=0.4202	MaxPSpeed= 4.36853	MaxPSpin= 21.6831	eKin = 24972.6	eGrav = 330077	eTot = 355050	
2201; time=0.4402	MaxPSpeed= 4.54718	MaxPSpin= 22.2684	eKin = 27118.4	eGrav = 327149	eTot = 354267	
