0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 0.198131	MaxPSpin= 7.09763e-12	eKin = 0.822173	eGrav = 73.4823	eTot = 74.3045	
201; time=0.0402	MaxPSpeed= 0.113443	MaxPSpin= 0.0556855	eKin = 0.100584	eGrav = 73.4911	eTot = 73.5917	
301; time=0.0602	MaxPSpeed= 0.0827575	MaxPSpin= 0.000670987	eKin = 0.05728	eGrav = 73.4103	eTot = 73.4676	
400; time=0.08	MaxPSpeed= 0.0454012	MaxPSpin= 0.0116663	eKin = 0.0356273	eGrav = 73.087	eTot = 73.1226	
500; time=0.1	MaxPSpeed= 0.0232141	MaxPSpin= 0.00392898	eKin = 0.00845935	eGrav = 73.0793	eTot = 73.0878	
600; time=0.12	MaxPSpeed= 0.0148104	MaxPSpin= 0.00321508	eKin = 0.00342866	eGrav = 73.0703	eTot = 73.0737	
700; time=0.14	MaxPSpeed= 0.00639895	MaxPSpin= 0.00301451	eKin = 0.000657038	eGrav = 73.0625	eTot = 73.0632	
800; time=0.16	MaxPSpeed= 0.00189115	MaxPSpin= 0.00317425	eKin = 4.7933e-05	eGrav = 73.061	eTot = 73.061	
900; time=0.18	MaxPSpeed= 0.000634798	MaxPSpin= 0.00222812	eKin = 4.65542e-06	eGrav = 73.0611	eTot = 73.0611	
1000; time=0.2	MaxPSpeed= 0.000699088	MaxPSpin= 0.00319576	eKin = 5.37783e-06	eGrav = 73.0606	eTot = 73.0606	
1100; time=0.22	MaxPSpeed= 0.000498256	MaxPSpin= 0.00863443	eKin = 6.25195e-06	eGrav = 73.0603	eTot = 73.0603	
1200; time=0.24	MaxPSpeed= 0.000278492	MaxPSpin= 0.00838764	eKin = 4.87599e-06	eGrav = 73.0601	eTot = 73.0601	
1300; time=0.26	MaxPSpeed= 0.000270871	MaxPSpin= 0.00827745	eKin = 4.70357e-06	eGrav = 73.0599	eTot = 73.0599	
1400; time=0.28	MaxPSpeed= 0.000326185	MaxPSpin= 0.0085971	eKin = 5.32902e-06	eGrav = 73.0598	eTot = 73.0598	
1501; time=0.3002	MaxPSpeed= 0.000351292	MaxPSpin= 0.00946259	eKin = 6.08045e-06	eGrav = 73.0597	eTot = 73.0597	
1601; time=0.3202	MaxPSpeed= 0.000301191	MaxPSpin= 0.00946013	eKin = 6.46187e-06	eGrav = 73.0596	eTot = 73.0596	
1701; time=0.3402	MaxPSpeed= 0.000356061	MaxPSpin= 0.0085357	eKin = 5.18682e-06	eGrav = 73.0595	eTot = 73.0595	
1801; time=0.3602	MaxPSpeed= 0.000296234	MaxPSpin= 0.00996521	eKin = 6.77078e-06	eGrav = 73.0594	eTot = 73.0594	
1901; time=0.3802	MaxPSpeed= 0.000312349	MaxPSpin= 0.00861276	eKin = 5.28608e-06	eGrav = 73.0592	eTot = 73.0593	
2001; time=0.4002	MaxPSpeed= 0.000397439	MaxPSpin= 0.00850623	eKin = 5.26287e-06	eGrav = 73.0591	eTot = 73.0591	
2101; time=0.4202	MaxPSpeed= 0.000304123	MaxPSpin= 0.00941689	eKin = 6.34633e-06	eGrav = 73.059	eTot = 73.059	
2201; time=0.4402	MaxPSpeed= 0.000328887	MaxPSpin= 0.00857257	eKin = 5.23157e-06	eGrav = 73.0589	eTot = 73.0589	
2301; time=0.4602	MaxPSpeed= 0.000352883	MaxPSpin= 0.00906379	eKin = 5.73541e-06	eGrav = 73.0588	eTot = 73.0588	
2401; time=0.4802	MaxPSpeed= 0.000303486	MaxPSpin= 0.00893812	eKin = 5.83426e-06	eGrav = 73.0587	eTot = 73.0587	
2501; time=0.5002	MaxPSpeed= 0.000341735	MaxPSpin= 0.00854619	eKin = 5.21013e-06	eGrav = 73.0586	eTot = 73.0586	
2601; time=0.5202	MaxPSpeed= 0.000285824	MaxPSpin= 0.00999947	eKin = 6.65812e-06	eGrav = 73.0585	eTot = 73.0585	
2701; time=0.5402	MaxPSpeed= 0.000303	MaxPSpin= 0.00872204	eKin = 5.49239e-06	eGrav = 73.0584	eTot = 73.0584	
2801; time=0.5602	MaxPSpeed= 0.000364098	MaxPSpin= 0.00847044	eKin = 5.13656e-06	eGrav = 73.0583	eTot = 73.0583	
2901; time=0.5802	MaxPSpeed= 0.000292801	MaxPSpin= 0.00991545	eKin = 6.69356e-06	eGrav = 73.0581	eTot = 73.0581	
3001; time=0.6002	MaxPSpeed= 0.000309578	MaxPSpin= 0.00865158	eKin = 5.37632e-06	eGrav = 73.058	eTot = 73.058	
3101; time=0.6202	MaxPSpeed= 0.000383862	MaxPSpin= 0.00848778	eKin = 5.21077e-06	eGrav = 73.0579	eTot = 73.0579	
3201; time=0.6402	MaxPSpeed= 0.000301305	MaxPSpin= 0.00934313	eKin = 6.3052e-06	eGrav = 73.0578	eTot = 73.0578	
3301; time=0.6602	MaxPSpeed= 0.000324367	MaxPSpin= 0.00854825	eKin = 5.19687e-06	eGrav = 73.0577	eTot = 73.0577	
3401; time=0.6802	MaxPSpeed= 0.000362648	MaxPSpin= 0.00895901	eKin = 5.63386e-06	eGrav = 73.0576	eTot = 73.0576	
3501; time=0.7002	MaxPSpeed= 0.00030303	MaxPSpin= 0.0089516	eKin = 5.86924e-06	eGrav = 73.0575	eTot = 73.0575	
3601; time=0.7202	MaxPSpeed= 0.000348656	MaxPSpin= 0.00848819	eKin = 5.13045e-06	eGrav = 73.0574	eTot = 73.0574	
3701; time=0.7402	MaxPSpeed= 0.000281456	MaxPSpin= 0.0100733	eKin = 6.7615e-06	eGrav = 73.0573	eTot = 73.0573	
3801; time=0.7602	MaxPSpeed= 0.000306104	MaxPSpin= 0.00872489	eKin = 5.51118e-06	eGrav = 73.0572	eTot = 73.0572	
3901; time=0.7802	MaxPSpeed= 0.000375859	MaxPSpin= 0.00846372	eKin = 5.15904e-06	eGrav = 73.057	eTot = 73.057	
4001; time=0.8002	MaxPSpeed= 0.000302269	MaxPSpin= 0.00961198	eKin = 6.52652e-06	eGrav = 73.0569	eTot = 73.0569	
4101; time=0.8202	MaxPSpeed= 0.000315848	MaxPSpin= 0.0085919	eKin = 5.27158e-06	eGrav = 73.0568	eTot = 73.0568	
4201; time=0.8402	MaxPSpeed= 0.000388565	MaxPSpin= 0.00848931	eKin = 5.24769e-06	eGrav = 73.0567	eTot = 73.0567	
4301; time=0.8602	MaxPSpeed= 0.000301054	MaxPSpin= 0.00911894	eKin = 6.0824e-06	eGrav = 73.0566	eTot = 73.0566	
4401; time=0.8802	MaxPSpeed= 0.000335769	MaxPSpin= 0.00851325	eKin = 5.1528e-06	eGrav = 73.0565	eTot = 73.0565	
4501; time=0.9002	MaxPSpeed= 0.000315895	MaxPSpin= 0.00962641	eKin = 6.20821e-06	eGrav = 73.0564	eTot = 73.0564	
4601; time=0.9202	MaxPSpeed= 0.000304533	MaxPSpin= 0.00882168	eKin = 5.67823e-06	eGrav = 73.0563	eTot = 73.0563	
4701; time=0.9402	MaxPSpeed= 0.000363416	MaxPSpin= 0.00846854	eKin = 5.13158e-06	eGrav = 73.0562	eTot = 73.0562	
4801; time=0.9602	MaxPSpeed= 0.000291997	MaxPSpin= 0.00992254	eKin = 6.69346e-06	eGrav = 73.0561	eTot = 73.0561	
4901; time=0.9802	MaxPSpeed= 0.000309999	MaxPSpin= 0.00864874	eKin = 5.37698e-06	eGrav = 73.0559	eTot = 73.0559	
5001; time=1.0002	MaxPSpeed= 0.000384178	MaxPSpin= 0.00848597	eKin = 5.21268e-06	eGrav = 73.0558	eTot = 73.0558	
5101; time=1.0202	MaxPSpeed= 0.000301498	MaxPSpin= 0.0093391	eKin = 6.30653e-06	eGrav = 73.0557	eTot = 73.0557	
5201; time=1.0402	MaxPSpeed= 0.000324853	MaxPSpin= 0.00854655	eKin = 5.19962e-06	eGrav = 73.0556	eTot = 73.0556	
5301; time=1.0602	MaxPSpeed= 0.000365783	MaxPSpin= 0.00889285	eKin = 5.5849e-06	eGrav = 73.0555	eTot = 73.0555	
5401; time=1.0802	MaxPSpeed= 0.000303346	MaxPSpin= 0.0089539	eKin = 5.87875e-06	eGrav = 73.0554	eTot = 73.0554	
5501; time=1.1002	MaxPSpeed= 0.00034855	MaxPSpin= 0.00848753	eKin = 5.13363e-06	eGrav = 73.0553	eTot = 73.0553	
5601; time=1.1202	MaxPSpeed= 0.00028432	MaxPSpin= 0.0100462	eKin = 6.72833e-06	eGrav = 73.0552	eTot = 73.0552	
5701; time=1.1402	MaxPSpeed= 0.000306559	MaxPSpin= 0.0087339	eKin = 5.5337e-06	eGrav = 73.0551	eTot = 73.0551	
5801; time=1.1602	MaxPSpeed= 0.000374268	MaxPSpin= 0.00846398	eKin = 5.16372e-06	eGrav = 73.0549	eTot = 73.0549	
5901; time=1.1802	MaxPSpeed= 0.000301846	MaxPSpin= 0.00964916	eKin = 6.5597e-06	eGrav = 73.0548	eTot = 73.0548	
6001; time=1.2002	MaxPSpeed= 0.000315122	MaxPSpin= 0.00860093	eKin = 5.29366e-06	eGrav = 73.0547	eTot = 73.0547	
6101; time=1.2202	MaxPSpeed= 0.000387481	MaxPSpin= 0.00850464	eKin = 5.26125e-06	eGrav = 73.0546	eTot = 73.0546	
6201; time=1.2402	MaxPSpeed= 0.000300541	MaxPSpin= 0.00916205	eKin = 6.13601e-06	eGrav = 73.0545	eTot = 73.0545	
