time collisionForces hydraulicForces
0 0 0
0.0202 2.52179e-10 0
0.0402 0 0
0.0602 0 0
0.08 1526.71 0
0.1 1141.26 0
0.12 776.124 0
0.14 661.465 0
0.16 628.348 0
0.18 625.051 0
0.2 620.097 0
0.22 621.506 0
0.24 620.848 0
0.26 622.282 0
0.28 622.085 0
0.3002 619.712 0
0.3202 620.882 0
0.3402 622.107 0
0.3602 620.579 0
0.3802 622.112 0
0.4002 621.865 0
0.4202 621.085 0
0.4402 622.041 0
0.4602 623.819 0
0.4802 621.85 0
0.5002 621.874 0
0.5202 619.249 0
0.5402 622.09 0
0.5602 621.791 0
0.5802 619.767 0
0.6002 622.052 0
0.6202 621.771 0
0.6402 621.036 0
0.6602 621.995 0
0.6802 623.04 0
0.7002 621.713 0
0.7202 621.834 0
0.7402 623.481 0
0.7602 622.003 0
0.7802 621.665 0
0.8002 620.504 0
0.8202 622.044 0
0.8402 621.842 0
0.8602 621.44 0
0.8802 621.932 0
0.9002 625.583 0
0.9202 621.905 0
0.9402 621.737 0
0.9602 619.701 0
0.9802 622.056 0
1.0002 621.783 0
1.0202 621.051 0
1.0402 622.01 0
1.0602 622.498 0
1.0802 621.719 0
1.1002 621.853 0
1.1202 623.274 0
1.1402 622.006 0
1.1602 621.726 0
1.1802 620.431 0
1.2002 622.058 0
1.2202 621.958 0
1.2402 621.373 0
1.2602 621.972 0
1.2802 617.687 0
1.3002 621.861 0
1.3202 621.795 0
1.3402 619.158 0
1.3602 622.053 0
1.3802 621.971 0
1.4002 620.771 0
1.4202 622.059 0
1.4402 622.155 0
1.4602 621.549 0
1.4802 621.93 0
1.5002 613.005 0
1.5202 621.942 0
1.5402 621.746 0
1.5602 619.717 0
1.5802 622.076 0
1.6002 622.107 0
1.6202 620.97 0
1.6402 622.044 0
1.6602 622.856 0
1.6802 621.651 0
1.7002 621.914 0
1.7202 626.655 0
1.7402 621.986 0
1.7602 621.731 0
1.7802 620.03 0
1.8002 622.089 0
1.8202 621.772 0
1.8402 621.063 0
1.8602 622.048 0
1.8802 622.523 0
1.9002 621.674 0
1.9202 621.912 0
1.9402 620.025 0
1.9602 621.992 0
1.9802 621.736 0
2.0002 619.989 0
2.0202 622.092 0
2.0402 621.814 0
2.0602 621.05 0
2.0802 622.058 0
2.1002 622.867 0
2.1202 621.669 0
2.1402 621.937 0
2.1602 624.53 0
2.1802 621.983 0
2.2002 621.769 0
2.2202 619.682 0
2.2402 622.098 0
2.2602 621.801 0
2.2802 620.863 0
2.3002 622.083 0
2.3202 622.44 0
2.3402 621.545 0
2.3602 621.983 0
2.3802 618.602 0
2.4002 621.923 0
2.4202 621.831 0
2.4402 619.173 0
2.4602 622.089 0
2.4802 621.901 0
2.5002 620.606 0
2.5202 622.108 0
2.5402 621.931 0
2.5602 621.391 0
2.5802 622.03 0
2.6002 617.756 0
2.6202 621.845 0
2.6402 621.89 0
2.6602 623.652 0
2.6802 622.064 0
2.7002 621.973 0
2.7202 620.178 0
2.7402 622.125 0
2.7602 622.004 0
2.7802 620.938 0
2.8002 622.098 0
2.8202 622.395 0
2.8402 621.525 0
2.8602 622.021 0
2.8802 624.035 0
2.9002 621.874 0
2.9202 621.902 0
2.9402 623.685 0
2.9602 622.056 0
2.9802 622.055 0
3.0002 620.069 0
3.0202 622.133 0
3.0402 621.773 0
3.0602 620.435 0
3.0802 622.164 0
3.1002 621.953 0
3.1202 619.794 0
3.1402 622.166 0
3.1602 622.245 0
3.1802 620.299 0
3.2002 622.147 0
3.2202 621.97 0
3.2402 620.256 0
3.2602 622.102 0
3.2802 622.053 0
3.3002 618.421 0
3.3202 621.985 0
3.3402 622.183 0
3.3602 617.496 0
3.3802 621.59 0
3.4002 622.271 0
3.4202 622.121 0
3.4402 620.848 0
3.4602 622.071 0
3.4802 621.966 0
3.5002 623.667 0
3.5202 620.995 0
3.5402 622.197 0
3.5602 622.181 0
3.5802 620.85 0
3.6002 622.205 0
3.6202 621.88 0
3.6402 620.638 0
3.6602 622.218 0
3.6802 621.972 0
3.7002 620.326 0
3.7202 622.21 0
3.7402 622.033 0
3.7602 619.796 0
3.7802 622.19 0
3.8002 621.973 0
3.8202 619.659 0
3.8402 622.154 0
3.8602 621.89 0
3.8802 622.698 0
3.9002 622.107 0
3.9202 621.999 0
3.9402 622.382 0
3.9602 620.538 0
3.9802 622.236 0
4.0002 621.866 0
4.0202 616.154 0
4.0402 621.642 0
4.0602 621.946 0
