time collisionForces hydraulicForces
0 0 0
0.0202 1.51614e-16 0
0.0402 1.20787e-16 0
0.0602 1.20787e-16 0
0.08 1.20787e-16 0
0.1 1.20787e-16 0
0.12 1.20787e-16 0
0.14 1.20787e-16 0
0.16 1.20787e-16 0
0.18 1.20787e-16 0
0.2 1.20787e-16 0
0.22 1.20787e-16 0
0.24 1.20787e-16 0
0.26 1.20787e-16 0
0.28 1.20787e-16 0
0.3002 1.20787e-16 0
0.3202 1.20787e-16 0
0.3402 1.20787e-16 0
0.3602 1.20787e-16 0
0.3802 1.20787e-16 0
0.4002 1.20787e-16 0
0.4202 1.20787e-16 0
0.4402 1.20787e-16 0
0.4602 1.20787e-16 0
0.4802 1.20787e-16 0
0.5002 1.20787e-16 0
0.5202 1.20787e-16 0
0.5402 1.20787e-16 0
0.5602 1.20787e-16 0
0.5802 1.20787e-16 0
0.6002 1.20787e-16 0
0.6202 1.20787e-16 0
0.6402 1.20787e-16 0
0.6602 1.20787e-16 0
0.6802 1.20787e-16 0
0.7002 1.20787e-16 0
0.7202 1.20787e-16 0
0.7402 40564.2 0
0.7602 35491.4 0
0.7802 0 0
0.8002 0 0
0.8202 0 0
0.8402 0 0
0.8602 0 0
0.8802 0 0
0.9002 98.9293 0
0.9202 100.046 0
0.9402 1233.42 0
0.9602 112.621 0
0.9802 809.414 0
1.0002 102.586 0
1.0202 1135.85 0
1.0402 200.087 0
1.0602 585.802 0
1.0802 294.84 0
1.1002 291.388 0
1.1202 287.149 0
1.1402 282.312 0
1.1602 277.07 0
1.1802 262.915 0
1.2002 255.685 0
1.2202 239.819 0
1.2402 220.694 0
1.2602 444.92 0
1.2802 430.455 0
1.3002 1094.75 0
1.3202 1063.48 0
1.3402 1032.24 0
1.3602 1011.74 0
1.3802 1008.57 0
1.4002 1008.47 0
1.4202 1008.47 0
1.4402 1008.47 0
1.4602 1008.47 0
1.4802 1008.47 0
1.5002 1008.47 0
1.5202 1008.47 0
1.5402 1008.47 0
1.5602 1008.47 0
1.5802 1008.47 0
1.6002 1008.47 0
1.6202 1008.47 0
1.6402 1008.47 0
1.6602 1008.47 0
1.6802 1008.47 0
1.7002 1008.47 0
1.7202 1008.47 0
1.7402 1008.47 0
1.7602 1008.47 0
1.7802 1008.47 0
1.8002 1008.47 0
1.8202 1008.47 0
1.8402 1008.47 0
1.8602 1008.47 0
1.8802 1008.47 0
1.9002 1008.47 0
1.9202 1008.47 0
1.9402 1008.47 0
1.9602 1008.47 0
1.9802 1008.47 0
2.0002 1008.47 0
2.0202 1008.47 0
2.0402 1008.47 0
2.0602 1008.47 0
2.0802 1008.47 0
2.1002 1008.47 0
2.1202 1008.47 0
2.1402 1008.47 0
2.1602 1008.47 0
2.1802 1008.47 0
2.2002 1008.47 0
2.2202 1008.47 0
2.2402 1008.47 0
2.2602 1008.47 0
2.2802 1008.47 0
2.3002 1008.47 0
2.3202 1008.47 0
2.3402 1008.47 0
2.3602 1008.47 0
2.3802 1008.47 0
2.4002 1008.47 0
2.4202 1008.47 0
2.4402 1008.47 0
2.4602 1008.47 0
2.4802 1008.47 0
2.5002 1008.47 0
2.5202 1008.47 0
2.5402 1008.47 0
2.5602 1008.47 0
2.5802 1008.47 0
2.6002 1008.47 0
2.6202 1008.47 0
2.6402 1008.47 0
2.6602 1008.47 0
2.6802 1008.47 0
2.7002 1008.47 0
2.7202 1008.47 0
2.7402 1008.47 0
2.7602 1008.47 0
2.7802 1008.47 0
2.8002 1008.47 0
2.8202 1008.47 0
2.8402 1008.47 0
2.8602 1008.47 0
2.8802 1008.47 0
2.9002 1008.47 0
2.9202 1008.47 0
2.9402 1008.47 0
2.9602 1008.47 0
2.9802 1008.47 0
3.0002 1008.47 0
3.0202 1008.47 0
3.0402 1008.47 0
3.0602 1008.47 0
3.0802 1008.47 0
3.1002 1008.47 0
3.1202 1008.47 0
3.1402 1008.47 0
3.1602 1008.47 0
3.1802 1008.47 0
3.2002 1008.47 0
3.2202 1008.47 0
3.2402 1008.47 0
3.2602 1008.47 0
3.2802 1008.47 0
3.3002 1008.47 0
3.3202 1008.47 0
3.3402 1008.47 0
3.3602 1008.47 0
3.3802 1008.47 0
3.4002 1008.47 0
3.4202 1008.47 0
3.4402 1008.47 0
3.4602 1008.47 0
3.4802 1008.47 0
3.5002 1008.47 0
