time meanMaxDtOverlap maxDtOverlap meanRelativeMaxDtOverlap maxRelativeDtOverlap
0 0 0 0 0
0.01005 0.00192383 0.00915508 0.853993 3.95613
0.02 0.000506448 0.00252472 0.224837 1.17702
0.03 0.00023669 0.0011205 0.105093 0.48973
0.04 0.000144919 0.00065124 0.0643536 0.298734
0.05 9.50113e-05 0.000314915 0.0421922 0.144855
0.06 6.49269e-05 0.000589141 0.0288321 0.274914
0.07 4.71558e-05 0.000216841 0.0209592 0.0979849
0.08005 3.70598e-05 0.000114075 0.0164567 0.0532313
0.09005 3.53245e-05 0.000124215 0.015709 0.0572682
0.10005 4.32035e-05 0.000405231 0.0192145 0.17377
0.11005 6.31238e-05 0.000177824 0.0280845 0.0798969
0.12005 8.28689e-05 0.000161119 0.0368464 0.0740007
0.13005 7.38481e-05 0.00014959 0.0328136 0.0670206
0.14005 5.48445e-05 0.000166984 0.0243537 0.0747468
0.15005 4.56037e-05 0.000193926 0.020227 0.0892844
0.16005 4.15591e-05 0.000166938 0.0184102 0.0736708
0.17005 4.16061e-05 0.000818175 0.0184162 0.353576
0.18005 3.76623e-05 0.000150799 0.0167043 0.0703353
0.19005 3.17593e-05 0.000414541 0.014081 0.17723
0.20005 2.56779e-05 0.000169559 0.0113856 0.0773888
0.21005 2.43439e-05 0.000208653 0.0108071 0.0971837
