time meanMaxOverlap maxOverlap meanRelativeMaxOverlap maxRelativeOverlap
0 0 0 0 0
0.01005 0.000240101 0.0015625 0.106854 0.709618
0.02 0.000128733 0.000845296 0.0569923 0.384225
0.03 7.63038e-05 0.000343144 0.0339035 0.158643
0.04 4.43644e-05 0.000243119 0.0196887 0.109071
0.05 3.11886e-05 0.000144482 0.0138029 0.0615342
0.06 2.19588e-05 6.93076e-05 0.00978585 0.0310936
0.07 1.73297e-05 6.05471e-05 0.0077368 0.0280051
0.08005 1.6941e-05 7.08098e-05 0.00750032 0.0313734
0.09005 1.59679e-05 8.8916e-05 0.00710903 0.0377563
0.10005 2.51618e-05 0.000110519 0.011167 0.0469295
0.11005 3.71134e-05 0.000158249 0.0165119 0.0702081
0.12005 3.34638e-05 8.70121e-05 0.0148752 0.0394076
0.13005 2.46547e-05 9.12346e-05 0.0109452 0.0403872
0.14005 1.79091e-05 9.66961e-05 0.00796063 0.0425225
0.15005 1.65291e-05 8.13827e-05 0.0073197 0.0376249
0.16005 1.43215e-05 9.12999e-05 0.00634917 0.0419963
0.17005 1.33862e-05 6.45098e-05 0.00592692 0.0274978
0.18005 1.42329e-05 7.38602e-05 0.00629965 0.0332255
0.19005 1.05966e-05 4.47906e-05 0.00468986 0.0195166
0.20005 9.8334e-06 3.92017e-05 0.00435821 0.0171561
0.21005 1.05881e-05 4.18713e-05 0.00468281 0.0187848
