time particleFlowRateX, particleFlowRateY, particleFlowRateZ
0 1.44982e-05 0 -2.50799e-05
0.01005 0.0549208 0 0.39709
0.02 -0.00266793 0 0.222511
0.03 -0.0265426 0 0.0806079
0.04 -0.0214786 0 0.0146568
0.05 -0.0161947 0 -0.0272675
0.06 -0.0121306 0 -0.0622836
0.07 -0.010236 0 -0.0926508
0.08005 -0.00975974 0 -0.119418
0.09005 -0.00933874 0 -0.142336
0.10005 -0.00574602 0 -0.152224
0.11005 -0.0016434 0 -0.128772
0.12005 0.00525438 0 -0.0762915
0.13005 0.00476813 0 -0.0416811
0.14005 0.00607284 0 -0.0333547
0.15005 0.00134585 0 -0.0264431
