time collisionForces hydraulicForces
0 0 0
0.01005 274.432 0
0.02 96.7077 0
0.03 44.4577 0
0.04 25.2184 0
0.05 11.7194 0
0.06 7.77632 0
0.07 4.40633 0
0.08005 3.89543 0
0.09005 4.27305 0
0.10005 11.2935 0
0.11005 27.6694 0
0.12005 32.6667 0
0.13005 22.7412 0
0.14005 17.3842 0
0.15005 16.0869 0
0.16005 14.2664 0
0.17005 12.8887 0
0.18005 12.3259 0
0.19005 8.94112 0
0.20005 8.38452 0
0.21005 7.14273 0
0.22005 5.81889 0
0.23005 4.77221 0
0.24005 4.42327 0
0.25005 3.86549 0
0.26005 4.69486 0
0.27005 4.78267 0
0.28005 5.17484 0
0.29005 4.68721 0
0.30005 4.75383 0
0.31005 4.25485 0
0.32005 3.40042 0
0.33005 3.442 0
0.34005 3.37227 0
0.35005 3.08397 0
0.36005 2.91172 0
0.37005 2.86935 0
0.38005 2.90768 0
0.39005 2.61605 0
0.40005 2.52511 0
0.41005 2.65365 0
