time fluidCenterOfMass_X fluidCenterOfMass_Y fluidCenterOfMass_Z
0 0.0748654 0.0350363 0.0843119
0.01005 0.0748926 0.0350482 0.0843303
0.02 0.074877 0.0350344 0.08433
0.03 0.0748633 0.0350314 0.084323
0.04 0.0748458 0.035018 0.0843377
0.05 0.0748562 0.0349987 0.0843431
0.06 0.0748441 0.0349878 0.0843391
0.07 0.0748472 0.0349718 0.0843464
0.08005 0.0748438 0.034985 0.0843659
0.09005 0.07484 0.0349847 0.0843932
0.10005 0.0748368 0.0349571 0.0843813
0.11005 0.0748282 0.0349572 0.0844075
0.12005 0.0748245 0.0349525 0.0844211
0.13005 0.0748343 0.0349507 0.0844447
0.14005 0.0748428 0.0349235 0.0843987
0.15005 0.0748405 0.0349226 0.0844303
0.16005 0.0748199 0.0349191 0.0844721
0.17005 0.0748171 0.0349093 0.0844733
0.18005 0.0748295 0.0349098 0.0844963
