time fluidFlowRateX, fluidFlowRateY, fluidFlowRateZ
0 0 0 0
0.01005 -0.0065248 -0.00319659 -0.0334946
0.02 -0.0351753 -0.000611601 0.000285458
0.03 -0.0391523 -0.00107452 0.0121247
0.04 -0.0772301 0.000428772 0.0450462
0.05 -0.0717977 0.00114083 -0.00637936
0.06 -0.0613926 0.00187978 0.00322797
0.07 -0.0195422 0.00170189 -0.00368103
0.08005 -0.0108414 0.00210543 0.045348
0.09005 0.0248676 0.00284367 0.0134025
0.10005 0.0567873 0.002271 0.00151604
0.11005 0.0524199 0.00232106 -0.0145689
0.12005 0.0517156 0.00170808 0.00047083
0.13005 0.0364865 0.00178576 0.04969
0.14005 0.019104 0.0015363 0.0133719
0.15005 -0.0314158 0.00205778 0.0200811
0.16005 -0.0407427 0.00319758 -0.023883
0.17005 -0.0559043 0.00352414 0.0223346
0.18005 -0.0624229 0.00285546 0.0323338
