time particleCenterOfMass_X particleCenterOfMass_Y particleCenterOfMass_Z
0 0.0696671 0.005 0.0617676
0.01005 0.070604 0.00542481 0.0621285
0.02 0.0714281 0.0063132 0.0624059
0.03 0.0721438 0.00736128 0.0621889
0.04 0.0727851 0.0081719 0.0616109
0.05 0.0733713 0.00966041 0.0607394
0.06 0.0739065 0.0101195 0.0596012
0.07 0.0743979 0.0105586 0.0582493
0.08005 0.0748594 0.0110329 0.0566946
0.09005 0.0752809 0.0121315 0.0549987
0.10005 0.0756685 0.0125799 0.0531718
0.11005 0.0760278 0.0128703 0.0512458
0.12005 0.0763593 0.0137967 0.0492392
0.13005 0.0766648 0.0143791 0.0471875
0.14005 0.0769553 0.0157733 0.0451034
