time particleFlowRateX, particleFlowRateY, particleFlowRateZ
0 1.44982e-05 0 -2.50799e-05
0.01005 0.0341341 0.00614256 0.0194031
0.02 0.028607 0.00431134 4.08906e-05
0.03 0.0247046 0.00310942 -0.0131593
0.04 0.0227877 0.00199363 -0.0251767
0.05 0.020363 0.000712487 -0.0336567
0.06 0.0195771 -0.000756129 -0.0423025
0.07 0.018009 -0.000392904 -0.0487746
0.08005 0.0172029 0.000274939 -0.0552492
0.09005 0.0153818 0.000449778 -0.0586443
0.10005 0.0145474 -0.000864241 -0.0640779
0.11005 0.0138701 -0.000692311 -0.0660428
0.12005 0.0126395 -0.00105347 -0.0674714
0.13005 0.0112242 -0.00086889 -0.0702026
0.14005 0.0101561 -0.000844754 -0.0692508
