time meanMaxDtOverlap maxDtOverlap meanRelativeMaxDtOverlap maxRelativeDtOverlap
0 0 0 0 0
0.01005 0.00052529 0.00800885 0.233953 3.69174
0.02 1.94412e-05 9.55577e-05 0.00862464 0.0427934
0.03 1.55884e-05 6.56735e-05 0.00691963 0.0295549
0.04 1.35531e-05 8.59731e-05 0.00602496 0.038058
0.05 1.04491e-05 6.7887e-05 0.00463756 0.0304017
0.06 1.09448e-05 5.92787e-05 0.00485563 0.027217
0.07 1.04545e-05 6.08424e-05 0.00464254 0.0283516
0.08005 9.9388e-06 3.69388e-05 0.00440495 0.0160743
0.09005 8.52762e-06 3.90701e-05 0.00378018 0.0175596
0.10005 8.69274e-06 3.67904e-05 0.00386841 0.0169776
