time meanMaxOverlap maxOverlap meanRelativeMaxOverlap maxRelativeOverlap
0 0 0 0 0
0.01005 9.45535e-06 5.26206e-05 0.00417039 0.0229384
0.02 7.53934e-06 2.63489e-05 0.00332939 0.0122099
0.03 1.16233e-05 4.41783e-05 0.00515733 0.0194704
0.04 7.57046e-06 2.34721e-05 0.00339574 0.0109632
0.05 7.92568e-06 3.29191e-05 0.00353149 0.0150178
0.06 6.67418e-06 1.70601e-05 0.00295209 0.00770555
0.07 6.62496e-06 2.18141e-05 0.00289412 0.00983059
0.08005 4.39515e-06 1.10743e-05 0.00193412 0.00479616
0.09005 5.04438e-06 1.64495e-05 0.00218925 0.00718633
0.10005 4.62406e-06 1.19672e-05 0.00202876 0.00537126
