time collisionForces hydraulicForces
0 0 0
0.01005 0.0723709 0
0.02 1.70233 0
0.03 4.02983 0
0.04 5.36544 0
0.05 8.41066 0
0.06 14.2205 0
0.07 23.6552 0
0.08005 26.6421 0
0.09005 27.6195 0
0.10005 21.7676 0
0.11005 10.6996 0
0.12005 6.07951 0
0.13005 8.12535 0
0.14005 8.52298 0
0.15005 7.50792 0
0.16005 6.88871 0
0.17005 6.95094 0
0.18005 5.30968 0
0.19005 5.05354 0
0.20005 4.6037 0
0.21005 4.47547 0
0.22005 3.84683 0
0.23005 3.75978 0
0.24005 3.59913 0
0.25005 3.53453 0
0.26005 3.24849 0
0.27005 3.00757 0
0.28005 2.95797 0
0.29005 2.68035 0
0.30005 2.49348 0
0.31005 2.51206 0
0.32005 2.6419 0
0.33005 2.5662 0
0.34005 2.55336 0
0.35005 2.57461 0
0.36005 2.4812 0
0.37005 2.43001 0
0.38005 2.49221 0
0.39005 2.43807 0
0.40005 2.45167 0
0.41005 2.43744 0
0.42005 2.40775 0
0.43005 2.42092 0
0.44005 2.42797 0
0.45005 2.38843 0
0.46005 2.41323 0
0.47005 2.41882 0
0.48005 2.41099 0
0.49005 2.43392 0
0.50005 2.41188 0
0.51005 2.41085 0
0.52005 2.41513 0
0.53005 2.40572 0
0.54005 2.39605 0
0.55005 2.40758 0
0.56005 2.41204 0
0.57005 2.40881 0
0.58005 2.42227 0
0.59005 2.39814 0
0.60005 2.39503 0
0.61005 2.42512 0
0.62005 2.40399 0
0.63005 2.40595 0
0.64005 2.42248 0
0.65005 2.40888 0
0.66005 2.40283 0
0.67005 2.41258 0
0.68005 2.40734 0
0.69005 2.4078 0
0.70005 2.41595 0
0.71005 2.40825 0
0.72005 2.40592 0
0.73005 2.4119 0
0.74005 2.4076 0
0.75005 2.41045 0
0.76005 2.4118 0
0.77005 2.40397 0
0.78005 2.41732 0
0.79005 2.40925 0
0.80005 2.40186 0
0.81005 2.41479 0
0.82005 2.4105 0
0.83005 2.40548 0
0.84005 2.41246 0
0.85005 2.4108 0
0.86005 2.40643 0
0.87005 2.41176 0
0.88005 2.40972 0
0.89005 2.40873 0
0.90005 2.41179 0
0.91005 2.40915 0
0.92005 2.4103 0
0.93005 2.41197 0
0.94005 2.41079 0
0.95005 2.41195 0
0.96005 2.40565 0
0.97005 2.40473 0
0.98005 2.41118 0
0.99005 2.41411 0
1.00005 2.40895 0
1.01005 2.40942 0
1.02005 2.41321 0
1.03005 2.40607 0
1.04005 2.40811 0
