time meanMaxDtOverlap maxDtOverlap meanRelativeMaxDtOverlap maxRelativeDtOverlap
0 0 0 0 0
0.01005 1.17057e-05 1.54961e-05 0.00519563 0.00667649
0.02 2.69402e-05 3.36628e-05 0.0120108 0.0152968
0.03 3.40586e-05 4.31998e-05 0.0151627 0.0198303
0.04 3.70104e-05 5.90383e-05 0.0164794 0.0270963
0.05 3.76637e-05 7.34864e-05 0.0167768 0.0338335
0.06 4.25557e-05 0.000113935 0.0189318 0.0511917
0.07 5.31775e-05 0.000146652 0.0236425 0.0631306
0.08005 6.23797e-05 0.000145279 0.0277089 0.0636353
0.09005 6.51196e-05 0.000191493 0.0289023 0.0847313
0.10005 6.19659e-05 0.000207622 0.0274808 0.0958106
0.11005 4.13695e-05 0.000115992 0.0183511 0.0520612
0.12005 2.31724e-05 7.45469e-05 0.010281 0.0340241
0.13005 1.87142e-05 5.81616e-05 0.00830083 0.0271403
0.14005 2.06377e-05 4.48285e-05 0.00915244 0.0204603
0.15005 2.07708e-05 4.97069e-05 0.00921058 0.0218877
0.16005 1.99096e-05 0.000134773 0.00882793 0.0621934
0.17005 1.78157e-05 4.65375e-05 0.00789069 0.0205102
0.18005 1.59683e-05 4.97473e-05 0.00707197 0.0223784
0.19005 1.36763e-05 5.19233e-05 0.00605663 0.0242293
0.20005 1.28069e-05 4.04335e-05 0.00566899 0.0174734
0.21005 1.26361e-05 4.02298e-05 0.00559147 0.0173854
0.22005 1.14631e-05 3.5102e-05 0.00507444 0.0151694
0.23005 1.01672e-05 3.18707e-05 0.00450026 0.013773
0.24005 9.80964e-06 3.43596e-05 0.00434212 0.0148486
0.25005 9.61245e-06 3.78219e-05 0.00425312 0.0163448
0.26005 9.23883e-06 3.86211e-05 0.00408604 0.0166902
0.27005 8.47747e-06 3.64771e-05 0.00374846 0.0157637
0.28005 7.90679e-06 3.65425e-05 0.00349598 0.0157919
0.29005 7.51101e-06 3.51263e-05 0.00332034 0.0151799
0.30005 7.05844e-06 3.47117e-05 0.00312038 0.0150008
0.31005 6.83299e-06 3.41084e-05 0.00302019 0.01474
0.32005 7.04231e-06 3.51788e-05 0.00311279 0.0152026
0.33005 6.98816e-06 3.57617e-05 0.00308879 0.0154545
0.34005 7.00124e-06 3.57862e-05 0.00309534 0.0154651
0.35005 6.82302e-06 3.48579e-05 0.00301584 0.0150639
0.36005 6.80144e-06 3.48432e-05 0.00300607 0.0150576
0.37005 6.52726e-06 3.46803e-05 0.00288428 0.0149872
0.38005 6.47815e-06 3.46155e-05 0.00286279 0.0149592
0.39005 6.39472e-06 3.45383e-05 0.00282527 0.0149258
0.40005 6.31703e-06 3.46595e-05 0.00279102 0.0149782
0.41005 6.28952e-06 3.4624e-05 0.00277865 0.0149629
0.42005 6.24817e-06 3.44836e-05 0.00276036 0.0149022
0.43005 6.17033e-06 3.47388e-05 0.00272585 0.0150124
0.44005 6.16479e-06 3.43749e-05 0.00272335 0.0148552
0.45005 6.07778e-06 3.35124e-05 0.00268478 0.0144825
0.46005 6.02369e-06 3.37032e-05 0.00266082 0.0145649
0.47005 6.06119e-06 3.39816e-05 0.00267737 0.0146852
0.48005 6.02247e-06 3.50055e-05 0.00266021 0.0151277
0.49005 6.02534e-06 3.50096e-05 0.00266149 0.0151295
0.50005 6.03272e-06 3.48018e-05 0.00266474 0.0150397
0.51005 5.97883e-06 3.47977e-05 0.00264092 0.0150379
0.52005 5.99861e-06 3.45873e-05 0.00264952 0.014947
0.53005 5.98138e-06 3.46376e-05 0.00264194 0.0149687
0.54005 5.93561e-06 3.41164e-05 0.00262175 0.0147435
0.55005 5.91521e-06 3.40749e-05 0.00261275 0.0147255
0.56005 5.93886e-06 3.47332e-05 0.00262325 0.01501
0.57005 5.92393e-06 3.52632e-05 0.00261656 0.0152391
0.58005 5.94669e-06 3.52745e-05 0.00262655 0.0152439
0.59005 5.92487e-06 3.44572e-05 0.00261688 0.0148907
0.60005 5.84702e-06 3.39966e-05 0.00258248 0.0146917
0.61005 5.89954e-06 3.4295e-05 0.00260569 0.0148207
0.62005 5.91555e-06 3.45654e-05 0.00261274 0.0149375
0.63005 5.866e-06 3.47201e-05 0.00259085 0.0150044
0.64005 5.8955e-06 3.47422e-05 0.00260392 0.0150139
0.65005 5.89754e-06 3.47385e-05 0.00260476 0.0150123
0.66005 5.85713e-06 3.45199e-05 0.00258694 0.0149179
0.67005 5.86576e-06 3.40836e-05 0.00259073 0.0147293
0.68005 5.87768e-06 3.42133e-05 0.00259599 0.0147854
0.69005 5.86365e-06 3.46862e-05 0.00258978 0.0149897
0.70005 5.87009e-06 3.4767e-05 0.00259264 0.0150246
0.71005 5.86638e-06 3.4692e-05 0.00259097 0.0149922
0.72005 5.84977e-06 3.4559e-05 0.00258367 0.0149347
0.73005 5.85185e-06 3.42623e-05 0.00258457 0.0148065
0.74005 5.85018e-06 3.42233e-05 0.00258379 0.0147897
0.75005 5.84548e-06 3.43011e-05 0.00258169 0.0148233
0.76005 5.85543e-06 3.43661e-05 0.00258611 0.0148514
0.77005 5.84485e-06 3.46517e-05 0.00258148 0.0149748
0.78005 5.84791e-06 3.47567e-05 0.00258281 0.0150202
0.79005 5.85813e-06 3.45822e-05 0.00258735 0.0149448
0.80005 5.82972e-06 3.43733e-05 0.00257474 0.0148545
0.81005 5.83979e-06 3.41093e-05 0.00257918 0.0147404
0.82005 5.85152e-06 3.44155e-05 0.00258435 0.0148727
0.83005 5.84038e-06 3.4423e-05 0.00257945 0.014876
0.84005 5.84051e-06 3.44839e-05 0.00257952 0.0149023
0.85005 5.8459e-06 3.45167e-05 0.00258192 0.0149164
0.86005 5.83675e-06 3.45295e-05 0.00257787 0.014922
0.87005 5.85109e-06 3.44426e-05 0.00258423 0.0148844
0.88005 5.86353e-06 3.41547e-05 0.00258976 0.01476
0.89005 5.86313e-06 3.41945e-05 0.0025896 0.0147772
0.90005 5.86657e-06 3.41907e-05 0.00259117 0.0147756
0.91005 5.86242e-06 3.42058e-05 0.00258932 0.0147821
0.92005 5.85927e-06 3.42966e-05 0.00258793 0.0148213
0.93005 5.8741e-06 3.44214e-05 0.00259447 0.0148753
0.94005 5.86943e-06 3.46023e-05 0.00259235 0.0149535
0.95005 5.8745e-06 3.46023e-05 0.00259461 0.0149535
0.96005 5.86003e-06 3.41887e-05 0.00258825 0.0147747
0.97005 5.83999e-06 3.39263e-05 0.0025794 0.0146613
0.98005 5.85213e-06 3.43839e-05 0.00258477 0.0148591
0.99005 5.86603e-06 3.46113e-05 0.00259089 0.0149574
1.00005 5.85738e-06 3.45874e-05 0.00258704 0.014947
1.01005 5.84374e-06 3.43455e-05 0.00258098 0.0148425
1.02005 5.85563e-06 3.43292e-05 0.00258626 0.0148354
1.03005 5.84435e-06 3.41839e-05 0.0025813 0.0147726
1.04005 5.8312e-06 3.4102e-05 0.0025755 0.0147372
