time meanMaxOverlap maxOverlap meanRelativeMaxOverlap maxRelativeOverlap
0 0 0 0 0
0.01005 7.04637e-06 1.04178e-05 0.00311317 0.00479639
0.02 1.62798e-05 2.90891e-05 0.00724203 0.0131565
0.03 1.62599e-05 4.10208e-05 0.00726792 0.0185195
0.04 1.49797e-05 4.45071e-05 0.00666107 0.0204913
0.05 1.66799e-05 5.19916e-05 0.00742001 0.0242272
0.06 2.04497e-05 0.000111683 0.00907683 0.0483267
0.07 2.49205e-05 0.00010958 0.0110749 0.0499227
0.08005 2.48931e-05 8.97547e-05 0.0110609 0.0401407
0.09005 2.88555e-05 8.95006e-05 0.0127878 0.0410553
0.10005 2.21678e-05 9.42982e-05 0.0098197 0.0417064
0.11005 1.19903e-05 5.24868e-05 0.00530975 0.0242882
0.12005 7.27471e-06 3.72725e-05 0.00321595 0.0172001
0.13005 1.00321e-05 3.4016e-05 0.00444078 0.0149106
0.14005 1.10386e-05 4.18598e-05 0.00488621 0.0182794
0.15005 9.78995e-06 3.42971e-05 0.00433085 0.0149769
0.16005 8.86366e-06 3.18883e-05 0.00391192 0.0148802
0.17005 9.47834e-06 3.85199e-05 0.00419024 0.0166465
0.18005 7.85272e-06 3.81458e-05 0.00346823 0.0164848
0.19005 7.90097e-06 3.81849e-05 0.00349046 0.0165017
0.20005 7.79403e-06 4.02298e-05 0.00344206 0.0173854
0.21005 7.99849e-06 3.37209e-05 0.00353232 0.0145725
0.22005 7.2016e-06 2.87913e-05 0.00317999 0.0129399
0.23005 6.58318e-06 2.79202e-05 0.00290809 0.0124688
0.24005 6.98061e-06 3.21323e-05 0.00308329 0.0138861
0.25005 7.01012e-06 3.46874e-05 0.00309653 0.0149902
0.26005 6.65418e-06 3.64771e-05 0.00293924 0.0157637
0.27005 6.25337e-06 3.61957e-05 0.00276161 0.015642
0.28005 6.31818e-06 3.43533e-05 0.00278983 0.0148458
0.29005 6.15824e-06 3.18031e-05 0.00271978 0.0137438
0.30005 5.79636e-06 3.39358e-05 0.00255972 0.0146654
0.31005 5.88188e-06 3.41088e-05 0.00259743 0.0147402
0.32005 6.16998e-06 3.46703e-05 0.00272543 0.0149829
0.33005 5.89757e-06 3.57622e-05 0.00260467 0.0154547
0.34005 5.87258e-06 3.45146e-05 0.00259379 0.0149155
0.35005 5.9726e-06 3.37389e-05 0.00263794 0.0145804
0.36005 5.87978e-06 3.42414e-05 0.00259684 0.0147975
0.37005 5.76855e-06 3.36064e-05 0.00254777 0.0145231
0.38005 5.88211e-06 3.37059e-05 0.00259782 0.0145661
0.39005 5.77056e-06 3.4539e-05 0.00254871 0.0149261
0.40005 5.81617e-06 3.44051e-05 0.00256876 0.0148682
0.41005 5.85454e-06 3.43878e-05 0.0025859 0.0148607
0.42005 5.77692e-06 3.41749e-05 0.00255154 0.0147688
0.43005 5.82636e-06 3.42046e-05 0.00257332 0.0147816
0.44005 5.82743e-06 3.34652e-05 0.00257366 0.0144621
0.45005 5.74509e-06 3.33837e-05 0.00253727 0.0144268
0.46005 5.79546e-06 3.31143e-05 0.00255941 0.0143104
0.47005 5.7968e-06 3.39216e-05 0.00256003 0.0146593
0.48005 5.78437e-06 3.50056e-05 0.0025546 0.0151277
