time maxParticleSpeed maxParticleSpin
0 0 0
0.01005 0.098234 0.00291344
0.02 0.194884 0.077808
0.03 0.292748 0.447518
0.04 0.460573 1.2961
0.05 0.594173 1.11541
0.06 0.645953 1.72018
0.07 0.858242 2.44466
0.08005 0.83041 4.60853
0.09005 1.00831 2.90402
0.10005 0.721095 2.8053
0.11005 0.590747 3.20574
0.12005 0.354841 2.48473
0.13005 0.300166 2.02469
0.14005 0.297423 1.72744
0.15005 0.315055 1.55733
0.16005 0.310705 2.85407
0.17005 0.382751 2.43699
0.18005 0.389027 1.71174
0.19005 0.314139 1.37185
0.20005 0.233831 1.31401
0.21005 0.194926 0.895957
0.22005 0.218844 0.920324
0.23005 0.179498 1.30054
0.24005 0.160423 0.700162
0.25005 0.202027 0.669407
0.26005 0.119577 0.631127
0.27005 0.0937186 0.597249
0.28005 0.100168 0.518098
0.29005 0.123092 0.391263
0.30005 0.0764608 0.440135
0.31005 0.08958 0.330114
0.32005 0.131133 0.371342
0.33005 0.200929 0.419689
0.34005 0.06876 0.349784
0.35005 0.0465885 0.224154
0.36005 0.0336246 0.21534
0.37005 0.0272462 0.268917
0.38005 0.0418178 0.310223
0.39005 0.065489 0.354408
0.40005 0.021468 0.297959
0.41005 0.0404623 0.15835
0.42005 0.007678 0.0550418
0.43005 0.0102278 0.027628
0.44005 0.00570146 0.0396193
0.45005 0.00533859 0.0447819
0.46005 0.00635187 0.0467036
0.47005 0.00635202 0.0920099
0.48005 0.00752689 0.0652913
0.49005 0.00546267 0.0705762
0.50005 0.0054753 0.128597
0.51005 0.00360672 0.051508
0.52005 0.00378674 0.0296113
0.53005 0.00359792 0.0388979
0.54005 0.00298754 0.0353716
0.55005 0.0027817 0.0368886
0.56005 0.00289616 0.0314878
0.57005 0.00257373 0.0230118
0.58005 0.00232782 0.0234572
0.59005 0.00240757 0.0243702
0.60005 0.0021671 0.0225805
0.61005 0.00225582 0.0243787
0.62005 0.00184672 0.02925
0.63005 0.00140631 0.0249901
0.64005 0.00165517 0.0240222
0.65005 0.00176476 0.0194595
0.66005 0.00190628 0.0254617
0.67005 0.0016962 0.0154675
0.68005 0.00132446 0.0289584
0.69005 0.00191595 0.0336277
0.70005 0.00210575 0.0280491
0.71005 0.00117922 0.0200924
0.72005 0.00168827 0.0208528
0.73005 0.00128452 0.021209
0.74005 0.00127225 0.0168991
0.75005 0.0013362 0.0192158
0.76005 0.00142994 0.0314748
0.77005 0.0011762 0.0222704
0.78005 0.000993439 0.0125794
0.79005 0.00138445 0.0202468
0.80005 0.00150844 0.0169444
0.81005 0.00102332 0.0145962
0.82005 0.00134341 0.0173031
0.83005 0.00165655 0.0268984
0.84005 0.00105206 0.0304077
0.85005 0.00155077 0.0161419
0.86005 0.00211639 0.0157201
0.87005 0.00434213 0.0249525
0.88005 0.00287323 0.03477
0.89005 0.00176647 0.0225089
0.90005 0.00180255 0.0180528
0.91005 0.00363396 0.0178342
0.92005 0.00179746 0.0227315
0.93005 0.00178904 0.0223285
0.94005 0.00216613 0.0143934
0.95005 0.00149326 0.0319548
0.96005 0.0011275 0.0191444
0.97005 0.0010995 0.0217224
0.98005 0.001184 0.0279138
0.99005 0.00148032 0.0334376
1.00005 0.00100648 0.0176607
1.01005 0.00163749 0.0249721
1.02005 0.00145336 0.0213464
1.03005 0.00150247 0.015593
1.04005 0.00100944 0.019877
