time particleCenterOfMass_X particleCenterOfMass_Y particleCenterOfMass_Z
0 0.0673908 0.005 0.0846282
0.01005 0.0673908 0.005 0.0841456
0.02 0.0673908 0.005 0.0828096
0.03 0.0673922 0.005 0.0808297
0.04 0.0674102 0.005 0.0782831
0.05 0.0674936 0.005 0.0752397
0.06 0.0676891 0.005 0.0719032
0.07 0.0679217 0.005 0.0686051
0.08005 0.068283 0.005 0.0659036
0.09005 0.0687232 0.005 0.0639989
0.10005 0.0689124 0.005 0.0633499
0.11005 0.0688843 0.005 0.0633396
0.12005 0.0690285 0.005 0.0632832
0.13005 0.0691025 0.005 0.0629259
0.14005 0.0691405 0.005 0.0625662
0.15005 0.069185 0.005 0.0623474
0.16005 0.0693381 0.005 0.0622083
0.17005 0.0694181 0.005 0.0620812
0.18005 0.0695329 0.005 0.0620228
0.19005 0.0695765 0.005 0.0619572
0.20005 0.0696362 0.005 0.0618952
0.21005 0.0696657 0.005 0.0618554
0.22005 0.0696987 0.005 0.0618426
0.23005 0.0697255 0.005 0.0618378
0.24005 0.0697303 0.005 0.0618087
0.25005 0.069718 0.005 0.0617856
0.26005 0.0696968 0.005 0.0617799
0.27005 0.0696784 0.005 0.061783
0.28005 0.0696682 0.005 0.0617753
0.29005 0.0696534 0.005 0.0617747
0.30005 0.0696495 0.005 0.0617826
0.31005 0.0696516 0.005 0.0617752
0.32005 0.069655 0.005 0.0617675
0.33005 0.0696561 0.005 0.0617709
0.34005 0.06966 0.005 0.0617729
0.35005 0.0696566 0.005 0.0617672
0.36005 0.069656 0.005 0.0617695
0.37005 0.0696562 0.005 0.0617717
0.38005 0.0696572 0.005 0.0617662
0.39005 0.0696576 0.005 0.0617695
0.40005 0.0696612 0.005 0.0617683
0.41005 0.069662 0.005 0.0617668
0.42005 0.0696626 0.005 0.0617691
0.43005 0.0696605 0.005 0.0617677
0.44005 0.0696617 0.005 0.0617673
0.45005 0.0696614 0.005 0.06177
0.46005 0.0696643 0.005 0.0617687
0.47005 0.0696672 0.005 0.0617679
0.48005 0.0696687 0.005 0.0617678
0.49005 0.0696709 0.005 0.0617661
0.50005 0.0696721 0.005 0.0617677
0.51005 0.069672 0.005 0.0617677
0.52005 0.0696701 0.005 0.0617663
0.53005 0.0696696 0.005 0.0617673
0.54005 0.0696701 0.005 0.0617687
0.55005 0.0696712 0.005 0.0617679
0.56005 0.0696712 0.005 0.0617669
0.57005 0.0696711 0.005 0.0617667
0.58005 0.069671 0.005 0.0617661
0.59005 0.0696713 0.005 0.0617685
0.60005 0.0696706 0.005 0.0617689
0.61005 0.0696699 0.005 0.061766
0.62005 0.0696705 0.005 0.0617675
0.63005 0.0696715 0.005 0.0617677
0.64005 0.0696721 0.005 0.0617662
0.65005 0.0696711 0.005 0.0617675
0.66005 0.0696704 0.005 0.0617681
0.67005 0.06967 0.005 0.0617673
0.68005 0.0696706 0.005 0.0617674
0.69005 0.0696714 0.005 0.0617673
0.70005 0.0696721 0.005 0.0617666
0.71005 0.0696718 0.005 0.0617674
0.72005 0.0696708 0.005 0.0617678
0.73005 0.0696698 0.005 0.0617671
0.74005 0.0696701 0.005 0.0617675
0.75005 0.0696712 0.005 0.0617673
0.76005 0.0696718 0.005 0.0617672
0.77005 0.0696717 0.005 0.0617677
0.78005 0.0696708 0.005 0.0617665
0.79005 0.0696702 0.005 0.0617674
0.80005 0.0696702 0.005 0.0617682
0.81005 0.069671 0.005 0.061767
0.82005 0.0696715 0.005 0.0617672
0.83005 0.0696713 0.005 0.0617676
0.84005 0.0696708 0.005 0.0617671
0.85005 0.0696705 0.005 0.0617671
0.86005 0.0696699 0.005 0.0617675
0.87005 0.0696691 0.005 0.0617672
0.88005 0.0696677 0.005 0.0617674
0.89005 0.0696663 0.005 0.0617675
0.90005 0.0696662 0.005 0.0617673
0.91005 0.0696676 0.005 0.0617678
0.92005 0.0696689 0.005 0.0617675
0.93005 0.069669 0.005 0.0617671
0.94005 0.0696684 0.005 0.0617668
0.95005 0.0696672 0.005 0.061767
0.96005 0.0696665 0.005 0.061768
0.97005 0.0696673 0.005 0.061768
0.98005 0.0696677 0.005 0.0617671
0.99005 0.0696682 0.005 0.0617668
1.00005 0.0696685 0.005 0.0617673
1.01005 0.0696686 0.005 0.0617674
1.02005 0.0696677 0.005 0.0617671
1.03005 0.0696671 0.005 0.0617678
1.04005 0.0696671 0.005 0.0617676
