time collisionForces hydraulicForces
0 0 0
0.01005 1.54718 0
0.02 2.69732 0
0.03 4.72047 0
0.04 6.6526 0
0.05 10.5637 0
0.06 9.14596 0
0.07 5.50319 0
0.08005 8.04235 0
0.09005 7.92728 0
0.10005 7.27699 0
0.11005 5.82167 0
0.12005 4.71058 0
0.13005 5.32739 0
0.14005 4.55962 0
0.15005 3.729 0
0.16005 3.99102 0
0.17005 4.13485 0
0.18005 3.51379 0
0.19005 3.52454 0
0.20005 3.30891 0
0.21005 2.86278 0
0.22005 3.15006 0
0.23005 3.13296 0
0.24005 2.63774 0
0.25005 2.67218 0
0.26005 2.86063 0
0.27005 2.46275 0
0.28005 2.57887 0
0.29005 2.68709 0
0.30005 2.53809 0
0.31005 2.5383 0
0.32005 2.40549 0
0.33005 2.30587 0
0.34005 2.27882 0
0.35005 2.21815 0
0.36005 2.17896 0
0.37005 2.25131 0
