time meanMaxDtOverlap maxDtOverlap meanRelativeMaxDtOverlap maxRelativeDtOverlap
0 0 0 0 0
0.01005 6.23839e-06 3.41291e-05 0.00275772 0.014749
0.02 6.30929e-06 2.52778e-05 0.00279526 0.0110432
0.03 1.09263e-05 3.73521e-05 0.00484753 0.0165275
0.04 1.53366e-05 0.000145068 0.00680291 0.0655525
0.05 2.62416e-05 0.000170503 0.011625 0.0746838
0.06 2.55354e-05 0.000168939 0.0113282 0.0779599
0.07 1.72239e-05 9.19228e-05 0.0076298 0.0397418
0.08005 1.7265e-05 5.54009e-05 0.00765884 0.0236857
0.09005 2.03259e-05 5.39026e-05 0.00901062 0.0242739
0.10005 1.82897e-05 4.98161e-05 0.00810832 0.0222294
0.11005 1.55732e-05 3.85577e-05 0.00690009 0.017826
0.12005 1.27199e-05 3.59942e-05 0.00563631 0.0153887
0.13005 1.24637e-05 3.62255e-05 0.00552026 0.015399
0.14005 1.22802e-05 3.72061e-05 0.00544002 0.0157988
0.15005 1.00047e-05 2.84812e-05 0.00443003 0.012955
0.16005 9.72361e-06 3.78539e-05 0.00430351 0.0169977
0.17005 1.11176e-05 3.95718e-05 0.00492187 0.0184656
0.18005 1.01706e-05 3.18365e-05 0.00450101 0.0147187
0.19005 8.82114e-06 2.92179e-05 0.00390389 0.0126266
0.20005 9.00585e-06 3.16589e-05 0.00398528 0.0135597
0.21005 8.05531e-06 2.68831e-05 0.0035621 0.0121753
0.22005 7.59155e-06 3.11036e-05 0.00335923 0.0134415
0.23005 8.12695e-06 3.44983e-05 0.00359453 0.0149085
0.24005 7.61028e-06 2.89431e-05 0.00336492 0.012628
0.25005 6.86874e-06 2.63246e-05 0.00303732 0.0112546
0.26005 7.42758e-06 3.186e-05 0.00328371 0.0136212
0.27005 6.95091e-06 2.81741e-05 0.00307339 0.0124388
0.28005 6.66391e-06 2.6076e-05 0.00294551 0.0114195
0.29005 6.93406e-06 2.74001e-05 0.00306574 0.0122506
0.30005 6.75141e-06 2.67807e-05 0.00298384 0.01206
0.31005 6.46902e-06 2.72205e-05 0.00285923 0.0117634
0.32005 6.30541e-06 2.75729e-05 0.00278588 0.0117883
0.33005 5.91536e-06 2.63777e-05 0.00261307 0.0112773
0.34005 5.77871e-06 2.67013e-05 0.00255251 0.0114225
0.35005 5.67783e-06 2.74176e-05 0.00250743 0.0118486
0.36005 5.43512e-06 2.57368e-05 0.00240007 0.0111222
0.37005 5.50669e-06 2.61451e-05 0.00243166 0.0112987
