time meanMaxOverlap maxOverlap meanRelativeMaxOverlap maxRelativeOverlap
0 0 0 0 0
0.01005 2.83606e-06 1.83676e-05 0.00125422 0.00812727
0.02 4.50413e-06 2.2016e-05 0.00199439 0.00961816
0.03 6.99811e-06 3.60086e-05 0.00310259 0.0160508
0.04 7.628e-06 9.08811e-05 0.00337701 0.0387387
0.05 1.20425e-05 6.39046e-05 0.00533513 0.0296404
0.06 9.4047e-06 6.67684e-05 0.00416496 0.0296485
0.07 5.64954e-06 3.64405e-05 0.0025009 0.0158852
0.08005 1.0047e-05 4.34521e-05 0.00445304 0.0191082
0.09005 9.22506e-06 3.86051e-05 0.00408072 0.0177088
0.10005 8.88544e-06 3.19671e-05 0.00392817 0.0143222
0.11005 7.48228e-06 3.5862e-05 0.00330852 0.0153322
0.12005 6.76157e-06 2.49451e-05 0.00298812 0.0109987
0.13005 7.61654e-06 3.20256e-05 0.00336386 0.0141427
0.14005 6.73237e-06 2.70636e-05 0.00297493 0.0115706
0.15005 5.50046e-06 2.64541e-05 0.00242953 0.0114322
0.16005 6.22953e-06 2.65743e-05 0.0027516 0.0120354
0.17005 6.98918e-06 2.62391e-05 0.00308604 0.0115496
0.18005 5.82623e-06 2.72044e-05 0.00257359 0.0123209
0.19005 6.08354e-06 2.64014e-05 0.0026872 0.0114094
0.20005 6.06876e-06 2.59189e-05 0.00268059 0.0117386
0.21005 5.39673e-06 2.27577e-05 0.00238258 0.00999899
0.22005 5.73631e-06 3.11058e-05 0.00253297 0.0134425
0.23005 5.99233e-06 2.76698e-05 0.00264513 0.0120965
0.24005 5.24443e-06 2.31267e-05 0.00231509 0.0103451
0.25005 5.38715e-06 2.59107e-05 0.00237856 0.0110777
0.26005 5.71593e-06 2.73383e-05 0.00252471 0.0123815
0.27005 5.07175e-06 2.42078e-05 0.00223865 0.0103496
0.28005 5.28899e-06 2.54817e-05 0.00233514 0.0114197
0.29005 5.53135e-06 2.65604e-05 0.00244176 0.0120292
0.30005 5.229e-06 2.67825e-05 0.00230898 0.0115741
0.31005 5.24817e-06 2.66395e-05 0.00231672 0.0113893
0.32005 5.19504e-06 2.57995e-05 0.00229322 0.0111493
0.33005 4.99803e-06 2.5003e-05 0.00220605 0.0107635
0.34005 5.11466e-06 2.57633e-05 0.00225757 0.0111337
0.35005 5.00859e-06 2.57368e-05 0.00221068 0.0111222
0.36005 4.92311e-06 2.5516e-05 0.00217279 0.0110268
0.37005 5.10398e-06 2.61454e-05 0.00225289 0.0112988
