time particleCenterOfMass_X particleCenterOfMass_Y particleCenterOfMass_Z
0 0.0696671 0.005 0.0617676
0.01005 0.0698468 0.005 0.0616717
0.02 0.0702399 0.005 0.0611906
0.03 0.0708687 0.005 0.0604677
0.04 0.0717978 0.005 0.0597435
0.05 0.0724746 0.005 0.0592197
0.06 0.0729444 0.005 0.0591316
0.07 0.0732771 0.005 0.0590086
0.08005 0.0735103 0.005 0.0586155
0.09005 0.0737295 0.005 0.0584249
0.10005 0.0738206 0.005 0.0583274
0.11005 0.0739087 0.005 0.0582866
0.12005 0.0739709 0.005 0.0582213
0.13005 0.0740356 0.005 0.0581101
0.14005 0.0740672 0.005 0.0580785
0.15005 0.0740899 0.005 0.0580867
0.16005 0.0740711 0.005 0.058019
0.17005 0.0740635 0.005 0.0579581
0.18005 0.0740643 0.005 0.0579651
0.19005 0.074064 0.005 0.0579379
0.20005 0.0740773 0.005 0.057914
0.21005 0.0740988 0.005 0.0579236
0.22005 0.074105 0.005 0.0578955
0.23005 0.0740982 0.005 0.0578803
0.24005 0.0740832 0.005 0.057898
0.25005 0.0740805 0.005 0.0578829
0.26005 0.0740747 0.005 0.0578666
0.27005 0.0740802 0.005 0.057878
0.28005 0.0740703 0.005 0.0578623
0.29005 0.0740722 0.005 0.0578527
0.30005 0.0740709 0.005 0.0578593
0.31005 0.0740705 0.005 0.0578534
0.32005 0.0740633 0.005 0.0578532
0.33005 0.0740622 0.005 0.0578576
0.34005 0.0740581 0.005 0.0578504
0.35005 0.0740556 0.005 0.0578531
0.36005 0.0740587 0.005 0.0578555
0.37005 0.0740653 0.005 0.0578493
0.38005 0.0740705 0.005 0.0578524
0.39005 0.0740737 0.005 0.0578544
0.40005 0.0740775 0.005 0.0578508
0.41005 0.0740796 0.005 0.0578526
0.42005 0.0740785 0.005 0.0578521
0.43005 0.0740776 0.005 0.0578474
0.44005 0.0740724 0.005 0.0578448
0.45005 0.0740668 0.005 0.0578471
0.46005 0.0740609 0.005 0.057842
0.47005 0.0740662 0.005 0.0578429
0.48005 0.0740697 0.005 0.0578438
0.49005 0.0740943 0.005 0.0578289
0.50005 0.074123 0.005 0.0578115
0.51005 0.0741423 0.005 0.0578179
0.52005 0.0741547 0.005 0.0578127
0.53005 0.0741487 0.005 0.0578045
0.54005 0.0741483 0.005 0.0578122
0.55005 0.0741358 0.005 0.0578003
0.56005 0.0741301 0.005 0.0578026
0.57005 0.0741223 0.005 0.0578113
0.58005 0.0741222 0.005 0.0577974
0.59005 0.0741218 0.005 0.0578034
0.60005 0.0741255 0.005 0.0578088
0.61005 0.0741279 0.005 0.0577981
