time collisionForces hydraulicForces
0 0 0
0.01005 0.0947484 0
0.02 0.367296 0
0.03 0.729086 0
0.04 1.31955 0
0.05 2.35223 0
0.06 4.20928 0
0.07 6.17279 0
0.08005 7.04892 0
0.09005 8.0902 0
0.10005 3.70934 0
0.11005 0.66045 0
0.12005 1.59198 0
0.13005 1.44984 0
0.14005 1.11492 0
0.15005 1.41341 0
0.16005 0.99099 0
0.17005 1.0481 0
0.18005 1.11038 0
0.19005 0.919716 0
0.20005 1.02227 0
0.21005 0.97627 0
0.22005 1.09498 0
0.23005 1.19709 0
0.24005 0.962148 0
0.25005 0.927067 0
0.26005 0.950375 0
0.27005 0.780918 0
0.28005 0.870792 0
0.29005 0.83445 0
0.30005 0.777263 0
0.31005 0.872611 0
0.32005 0.786244 0
0.33005 0.802976 0
0.34005 0.852696 0
0.35005 0.771658 0
0.36005 0.833029 0
0.37005 0.809875 0
0.38005 0.7826 0
0.39005 0.839721 0
0.40005 0.786291 0
0.41005 0.807883 0
0.42005 0.82207 0
0.43005 0.78816 0
0.44005 0.820819 0
0.45005 0.807084 0
0.46005 0.792937 0
0.47005 0.820269 0
0.48005 0.797286 0
0.49005 0.803912 0
0.50005 0.816137 0
0.51005 0.794443 0
0.52005 0.813583 0
0.53005 0.806042 0
0.54005 0.797631 0
0.55005 0.814599 0
0.56005 0.800547 0
0.57005 0.806023 0
0.58005 0.81314 0
0.59005 0.796946 0
0.60005 0.811085 0
0.61005 0.806677 0
0.62005 0.800569 0
0.63005 0.812567 0
0.64005 0.800246 0
0.65005 0.805839 0
0.66005 0.809235 0
0.67005 0.800879 0
0.68005 0.807949 0
0.69005 0.80678 0
0.70005 0.801513 0
0.71005 0.809887 0
0.72005 0.803784 0
0.73005 0.80494 0
0.74005 0.808964 0
0.75005 0.801696 0
0.76005 0.807982 0
0.77005 0.806196 0
0.78005 0.801875 0
0.79005 0.809666 0
0.80005 0.803229 0
0.81005 0.804852 0
0.82005 0.808854 0
0.83005 0.802029 0
0.84005 0.807301 0
0.85005 0.806566 0
0.86005 0.802872 0
0.87005 0.808212 0
0.88005 0.804298 0
0.89005 0.803955 0
0.90005 0.808177 0
0.91005 0.802716 0
0.92005 0.806464 0
0.93005 0.806582 0
0.94005 0.803207 0
0.95005 0.807907 0
0.96005 0.805084 0
0.97005 0.804098 0
0.98005 0.808184 0
0.99005 0.803275 0
1.00005 0.806087 0
