time meanMaxOverlap maxOverlap meanRelativeMaxOverlap maxRelativeOverlap
0 0 0 0 0
0.01005 3.39513e-06 6.56684e-06 0.00339515 0.00682624
0.02 3.49755e-06 8.86002e-06 0.00348222 0.00921
0.03 4.33954e-06 1.4576e-05 0.00433181 0.0147829
0.04 4.766e-06 1.95253e-05 0.00477287 0.0199237
0.05 4.95134e-06 1.58133e-05 0.00493139 0.0165932
0.06 6.51181e-06 2.41967e-05 0.00648628 0.0241726
0.07 7.93614e-06 2.55952e-05 0.00790384 0.0251392
0.08005 7.1698e-06 4.90628e-05 0.00714615 0.0496587
0.09005 9.50241e-06 3.0776e-05 0.00945524 0.030143
0.10005 4.41184e-06 1.46777e-05 0.00438484 0.0142364
0.11005 9.2297e-07 5.73181e-06 0.000916606 0.00585476
0.12005 3.08781e-06 1.25907e-05 0.00306662 0.0122121
0.13005 2.46526e-06 8.62342e-06 0.00244912 0.00892694
0.14005 2.02901e-06 9.29962e-06 0.00201456 0.00893335
0.15005 2.87326e-06 1.1117e-05 0.00285161 0.0106792
0.16005 1.91515e-06 9.26717e-06 0.0019009 0.00890218
0.17005 2.20013e-06 1.00536e-05 0.00218429 0.00965763
0.18005 2.3588e-06 1.04648e-05 0.00234208 0.0100526
0.19005 1.92292e-06 9.51241e-06 0.00190916 0.00913776
0.20005 2.21398e-06 1.04471e-05 0.00219735 0.0100357
0.21005 2.13477e-06 9.59453e-06 0.00211897 0.00921665
0.22005 2.00802e-06 9.46234e-06 0.00199392 0.00908966
0.23005 2.49569e-06 1.11523e-05 0.00247732 0.0107131
0.24005 1.92177e-06 9.56161e-06 0.00190781 0.00918502
0.25005 2.05617e-06 1.08841e-05 0.00204075 0.0104554
0.26005 2.18766e-06 1.10495e-05 0.0021715 0.0106143
0.27005 1.76144e-06 9.87947e-06 0.00174837 0.00949037
0.28005 2.04613e-06 1.00167e-05 0.00203066 0.00962219
0.29005 1.9598e-06 1.02052e-05 0.00194494 0.00980325
0.30005 1.81239e-06 1.01767e-05 0.0017988 0.0097759
