time particleFlowRateX, particleFlowRateY, particleFlowRateZ
0 0 0 0
0.01005 -1.96125e-10 0 -0.00494888
0.02 4.81319e-05 0 -0.00902458
0.03 0.000851426 0 -0.0130033
0.04 0.00232208 0 -0.0158696
0.05 0.00221248 0 -0.0178303
0.06 0.00212623 0 -0.0176562
0.07 0.00182706 0 -0.0145097
0.08005 0.00704525 0 -0.0101788
0.09005 0.00391925 0 -0.00496362
0.10005 0.00097736 0 0.00150144
0.11005 0.00123739 0 -0.000179298
0.12005 0.000784924 0 -0.000845398
0.13005 -0.000268023 0 0.000280758
0.14005 -0.000106943 0 -0.000534057
0.15005 -4.59448e-05 0 -0.000196551
0.16005 0.000585072 0 0.00016826
0.17005 0.00047905 0 -0.000388315
0.18005 0.000342344 0 0.000115251
0.19005 -7.08183e-05 0 1.99333e-05
0.20005 0.00020096 0 -0.000217128
0.21005 -0.000320657 0 0.000100428
0.22005 -0.000208983 0 -0.000323825
0.23005 0.000342735 0 -8.38434e-06
0.24005 0.000208386 0 0.000161031
0.25005 5.34054e-05 0 -0.000211716
0.26005 -9.395e-05 0 0.000134514
0.27005 -1.17609e-05 0 2.98728e-05
0.28005 -2.40097e-05 0 -0.000147426
0.29005 -1.17562e-05 0 0.000154407
0.30005 -7.42897e-07 0 -8.05507e-05
0.31005 4.33039e-05 0 -2.14869e-05
0.32005 6.15478e-05 0 9.38426e-05
0.33005 1.07078e-05 0 -0.000109916
0.34005 1.21089e-05 0 5.33505e-05
0.35005 -2.75628e-06 0 2.21594e-05
0.36005 -5.08565e-05 0 -7.83411e-05
0.37005 1.62927e-05 0 9.51587e-05
0.38005 3.18787e-06 0 -5.54305e-05
0.39005 -1.21089e-05 0 -9.10779e-07
0.40005 4.8078e-05 0 4.13082e-05
0.41005 -1.22469e-05 0 -5.97537e-05
0.42005 -2.03376e-05 0 4.1027e-05
0.43005 1.19949e-06 0 -1.38937e-06
0.44005 -5.43952e-05 0 -2.8029e-05
0.45005 1.96287e-05 0 4.36694e-05
0.46005 -3.43897e-06 0 -2.39867e-05
0.47005 8.92567e-06 0 -4.26377e-06
0.48005 1.23928e-05 0 2.58536e-05
0.49005 -1.19894e-05 0 -3.07038e-05
0.50005 8.98351e-06 0 1.87558e-05
0.51005 1.41139e-05 0 2.63443e-06
0.52005 -1.26539e-05 0 -2.20497e-05
0.53005 1.29702e-05 0 2.33221e-05
0.54005 -2.1795e-06 0 -1.54337e-05
0.55005 -3.9067e-06 0 -2.50579e-06
0.56005 1.05284e-05 0 1.31899e-05
0.57005 -2.40135e-07 0 -2.05702e-05
0.58005 1.40815e-05 0 1.2745e-05
0.59005 1.19261e-05 0 7.86492e-07
0.60005 -2.66856e-07 0 -1.36845e-05
0.61005 4.60893e-06 0 1.91095e-05
0.62005 -2.98817e-06 0 -9.99218e-06
0.63005 2.06341e-06 0 4.74632e-07
0.64005 1.49846e-05 0 1.01931e-05
0.65005 -9.62033e-06 0 -1.2181e-05
0.66005 7.49852e-06 0 7.32149e-06
0.67005 6.15732e-06 0 8.37811e-07
0.68005 -3.46137e-06 0 -9.21259e-06
0.69005 8.26721e-06 0 9.20002e-06
0.70005 -1.33227e-06 0 -5.27631e-06
0.71005 3.75949e-06 0 -2.93216e-06
0.72005 7.25744e-06 0 7.7405e-06
0.73005 -3.06133e-06 0 -8.86094e-06
0.74005 1.52035e-06 0 6.31303e-06
0.75005 -5.61434e-06 0 1.94863e-06
0.76005 -1.12965e-06 0 -7.33945e-06
0.77005 -2.63864e-07 0 9.51715e-06
0.78005 -1.64945e-06 0 -4.90742e-06
0.79005 -1.63185e-06 0 -1.87511e-06
0.80005 -9.16117e-07 0 7.70535e-06
0.81005 -3.28828e-09 0 -8.8061e-06
0.82005 -1.75777e-06 0 5.02039e-06
0.83005 4.13342e-07 0 1.72213e-06
0.84005 2.66627e-06 0 -5.97564e-06
0.85005 8.02605e-06 0 7.01775e-06
0.86005 -2.04477e-06 0 -3.03712e-06
0.87005 -4.29545e-06 0 -2.76251e-06
0.88005 2.2515e-06 0 7.13796e-06
0.89005 -9.38188e-06 0 -6.75939e-06
0.90005 1.94145e-06 0 2.3483e-06
0.91005 2.49646e-06 0 2.64287e-06
0.92005 -4.94638e-06 0 -6.60693e-06
0.93005 1.46533e-06 0 5.45911e-06
0.94005 4.20146e-07 0 -1.89808e-06
0.95005 2.33409e-06 0 -2.66991e-06
0.96005 6.12748e-07 0 5.96835e-06
0.97005 -3.02355e-06 0 -5.0361e-06
0.98005 4.41363e-06 0 1.49714e-06
0.99005 3.25534e-06 0 3.05481e-06
1.00005 3.51323e-06 0 -5.77216e-06
