time maxParticleSpeed maxParticleSpin
0 0 0
0.01005 0.0977442 0
0.02 0.192951 0
0.03 0.291957 0
0.04 0.410362 0
0.05 0.499482 0
0.06 0.572351 0
0.07 0.694751 0
0.08005 0.806897 0
0.09005 0.702218 0
0.10005 0.472773 0
0.11005 0.277252 0
0.12005 0.197177 0
0.13005 0.202351 0
0.14005 0.244743 0
0.15005 0.209831 0
0.16005 0.200289 0
0.17005 0.292251 0
0.18005 0.396774 0
0.19005 0.102777 0
0.20005 0.0872274 0
0.21005 0.0910233 0
0.22005 0.0972359 0
0.23005 0.140003 0
0.24005 0.0482436 0
0.25005 0.0433292 0
0.26005 0.0535743 0
0.27005 0.0396105 0
0.28005 0.0283002 0
0.29005 0.0122698 0
0.30005 0.0121064 0
0.31005 0.0137137 0
0.32005 0.00903187 0
0.33005 0.00666392 0
0.34005 0.0102237 0
0.35005 0.00549799 0
0.36005 0.00773197 0
0.37005 0.00556671 0
0.38005 0.00612893 0
0.39005 0.00785714 0
0.40005 0.00712738 0
0.41005 0.00525432 0
0.42005 0.00916604 0
0.43005 0.0104853 0
0.44005 0.00496679 0
0.45005 0.00425321 0
0.46005 0.00287266 0
0.47005 0.00548526 0
0.48005 0.00484367 0
0.49005 0.00268067 0
0.50005 0.0044324 0
0.51005 0.0069453 0
0.52005 0.00190099 0
0.53005 0.00398484 0
0.54005 0.00561221 0
0.55005 0.00225596 0
0.56005 0.00179694 0
0.57005 0.00509838 0
0.58005 0.00166002 0
0.59005 0.0052505 0
0.60005 0.00159951 0
0.61005 0.0015616 0
0.62005 0.00219201 0
0.63005 0.00121471 0
0.64005 0.00107976 0
0.65005 0.00129334 0
0.66005 0.0015453 0
0.67005 0.00169006 0
0.68005 0.00106547 0
0.69005 0.00136491 0
0.70005 0.00119926 0
0.71005 0.000948192 0
0.72005 0.00109788 0
0.73005 0.00115833 0
0.74005 0.0011968 0
0.75005 0.00066851 0
0.76005 0.000799664 0
0.77005 0.00105388 0
0.78005 0.000657905 0
0.79005 0.000643145 0
0.80005 0.000680329 0
0.81005 0.000727979 0
0.82005 0.000516858 0
0.83005 0.000623049 0
0.84005 0.00063273 0
0.85005 0.00054746 0
0.86005 0.000501963 0
0.87005 0.000498998 0
0.88005 0.000535241 0
0.89005 0.000596905 0
0.90005 0.000442379 0
0.91005 0.000637548 0
0.92005 0.000494008 0
0.93005 0.00051354 0
0.94005 0.00046533 0
0.95005 0.000529231 0
0.96005 0.000462214 0
0.97005 0.000469255 0
0.98005 0.000378633 0
0.99005 0.000425237 0
1.00005 0.000436194 0
